Query	Taxid	Tax name	Authority	Rank	Basionym	Basionym authority	Curator common name	Has type material	Group name	Domain/Realm name	Domain/Realm taxid	Kingdom name	Kingdom taxid	Phylum name	Phylum taxid	Class name	Class taxid	Order name	Order taxid	Family name	Family taxid	Genus name	Genus taxid	Species name	Species taxid	Scientific name is formal
1638607	1638607	Lobophora sp. 10 CWV-2015		SPECIES				no	brown algae	Eukaryota	2759					Phaeophyceae	2870	Dictyotales	2873	Dictyotaceae	2874	Lobophora	157000	Lobophora sp. 10 CWV-2015	1638607	FALSE
1638608	1638608	Lobophora sp. 12 CWV-2015		SPECIES				no	brown algae	Eukaryota	2759					Phaeophyceae	2870	Dictyotales	2873	Dictyotaceae	2874	Lobophora	157000	Lobophora sp. 12 CWV-2015	1638608	FALSE
1638609	1638609	Lobophora sp. 14 CWV-2015		SPECIES				no	brown algae	Eukaryota	2759					Phaeophyceae	2870	Dictyotales	2873	Dictyotaceae	2874	Lobophora	157000	Lobophora sp. 14 CWV-2015	1638609	FALSE
1638610	1638610	Lobophora sp. 2 CWV-2015		SPECIES				no	brown algae	Eukaryota	2759					Phaeophyceae	2870	Dictyotales	2873	Dictyotaceae	2874	Lobophora	157000	Lobophora sp. 2 CWV-2015	1638610	FALSE
1638611	1638611	Lobophora sp. 3 CWV-2015		SPECIES				no	brown algae	Eukaryota	2759					Phaeophyceae	2870	Dictyotales	2873	Dictyotaceae	2874	Lobophora	157000	Lobophora sp. 3 CWV-2015	1638611	FALSE
1638612	1638612	Lobophora sp. 4 CWV-2015		SPECIES				no	brown algae	Eukaryota	2759					Phaeophyceae	2870	Dictyotales	2873	Dictyotaceae	2874	Lobophora	157000	Lobophora sp. 4 CWV-2015	1638612	FALSE
1638613	1638613	Lobophora sp. 5 CWV-2015		SPECIES				no	brown algae	Eukaryota	2759					Phaeophyceae	2870	Dictyotales	2873	Dictyotaceae	2874	Lobophora	157000	Lobophora sp. 5 CWV-2015	1638613	FALSE
1638615	1638615	Lobophora sp. 7 CWV-2015		SPECIES				no	brown algae	Eukaryota	2759					Phaeophyceae	2870	Dictyotales	2873	Dictyotaceae	2874	Lobophora	157000	Lobophora sp. 7 CWV-2015	1638615	FALSE
1638616	1638616	Lobophora sp. 8 CWV-2015		SPECIES				no	brown algae	Eukaryota	2759					Phaeophyceae	2870	Dictyotales	2873	Dictyotaceae	2874	Lobophora	157000	Lobophora sp. 8 CWV-2015	1638616	FALSE
1638617	1638617	Lobophora sp. 9 CWV-2015		SPECIES				no	brown algae	Eukaryota	2759					Phaeophyceae	2870	Dictyotales	2873	Dictyotaceae	2874	Lobophora	157000	Lobophora sp. 9 CWV-2015	1638617	FALSE
